문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean	개인지칭
위로와 격려를 호텔에서 해? 왜? 저여자도 정상은 아니구만 완전 지네 할아버지보다 나이가 더 많을듯한데 토나올꺼같은데.. 둘다 미쳤구만.. 그렇게 더러운짓은 하고 설교를 어떻게 하는거야.. 웩!	0	0	0	0	0	0	0	0	1	0	0
메틸 알콜 집에서 쓰고 있다. 질문 받는다. 99프로 에틸에 1프로 메틸 들어간다. 공업용 에틸 알콜은 면세라 불법적으로 술제조 때문에 1프로 정도 메틸이 들어가면서 제조방지용으로 쓴다..	0	0	0	0	0	0	0	0	0	1	0
띄울사람이 진짜 없긴 없나보다	0	0	0	0	0	0	0	0	1	0	0
한국패미=고유정 수준 ㅋㅋㅋ	1	0	0	0	0	0	0	0	0	0	1
CNN 구구절절 팩트	0	0	0	0	0	0	0	0	0	1	0
쑈 빼고 아무것도 없는 개돼지 정권이노 탄핵 개힘조	0	0	0	0	0	0	0	0	1	0	0
진짜 저것들 아주 싫다, 싫어. 내가 외국년놈들에게 욕질 괜히 해대는 게 아니다.	0	0	0	1	0	0	0	0	0	0	0
이슬람이고 뭐고 그냥 종교충들은 다 죽었으면 좋겠어	0	0	0	0	0	0	1	0	0	0	0
홍어무침 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	1	0	0	0	0	0
안티페미 운운하기 전에 우리나라에서 페미라고 설치는 작자들이 어떻게 설치고 다니는지나 직시해보는게 우선인 것 같은데ㅋㅋㅋ	1	0	0	0	0	0	0	0	0	0	0
뭐하냐 기업이네 기업이여 기업에 돈갖다 받치는 어이없는 시키들도 문제다	0	0	0	0	0	0	0	0	1	0	0
홍들 피들 폭들 ㅎㅎㅎ	0	0	0	0	0	1	0	0	0	0	0
안희 정민아 왜 저깄노 ㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
큰일났노. 저 글쓴 자댕이를 재기로 위장해서 죽일방법 보내놨으니 봐라이기야.	0	1	0	0	0	0	0	0	0	0	0
진씨는 왜 반말이야 ?	0	0	0	0	0	0	0	0	0	1	0
교회다녀봤는데 교인들은 보여지는것에 집중하고 그들이 말하는 속세의 사람들보다 가식적임 그리고 굉장히 이분법적사고를 갖고있어서 아마 이런상황에서 예배를 드린다는거에 우선순위를 지켰다고 자뻑하고있을거임 개뿔 하나님은 그런 이기적이고 천박한 신앙을 원치 않으실 거다 개독들아	0	0	0	0	0	0	1	0	0	0	0
사망이후 조사받기 전까지 이 분 통화내역 확인 필요	0	0	0	0	0	0	0	0	0	1	0
뜬구름 잡는 소리 하고 있네.	0	0	0	0	0	0	0	0	1	0	0
이새끼 전라도	0	0	0	0	0	1	0	0	0	0	0
도대체 이정권에서 무고한목숨이 얼마나죽는가	0	0	0	0	0	0	0	0	1	0	0
진짜 전라도 존나 싫다	0	0	0	0	0	1	0	0	0	0	0
돈고는 질병이다 이기야	0	0	1	0	0	0	0	0	0	0	0
보지들은 딱히 저런 거에 대해 자존심 같은 걸 안 느끼지 않나	1	0	0	0	0	0	0	0	0	0	0
오세라비님은 페미니스트 아닙니다만 ^^;;	0	0	0	0	0	0	0	0	0	1	0
뉴스 보니까 길이 낯설지 않더라.	0	0	0	0	0	0	0	0	0	1	0
동성애는 저주야!	0	0	1	0	0	0	0	0	0	0	0
애들 먹이게 돈가스 좀 달라는건 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋ아니 애들 먹는 돈가스는 어디 하늘에서 뚝 떨어지냐 양심도 없노 ㅋㅋㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
맞노.저멘트로 타격느끼는건 개념려둘뿐이다 ㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
냄져들 기싸움이 더하다....	0	1	0	0	0	0	0	0	0	0	0
마포가 뭘뜻하는거냐?	0	0	0	0	0	0	0	0	0	1	0
전라도피는 물보다 진하다	0	0	0	0	0	1	0	0	0	0	0
할카스가 머임?상폐보지중 부패한보지임?	1	0	0	0	1	0	0	0	0	0	0
솔직히 패 죽일 수 있다 정당방위 상황에서 어디를 어떻게 쳐서 병신 만들지 시뮬레이션 많이 해보노	0	0	0	0	0	0	0	0	1	0	0
저남자랑 섹스하고싶다 쎅스쌕스!!	0	0	0	0	0	0	0	0	1	0	0
존나 무섭네	0	0	0	0	0	0	0	0	0	1	0
물타기 하지마라애초에 지금 개독 존나 까이는거진화론 관련 글 올라왔는데개독 새끼들이 창조설 가져와서 빼애애애ㅐ액~~해서 시작 된거다	0	0	0	0	0	0	1	0	0	0	0
지금 이미 난리남	0	0	0	0	0	0	0	0	0	1	0
거식증때문에 168cm 49kg된적있노 학식련인데 언덕위에 있는 도서관만 가도 헉헉대고 눈앞이까매지고 세미시체였다이기.. 이제 다시 쪘더니 낮잠도 별로 필요없고 체력이 늘어난기분이노	0	0	0	0	0	0	0	0	0	1	0
우노ㅋㅋ자댕이의 존재의미가 atm이지 달리뭔데 거참 한국남자들 자의식과잉 오진다이기야	0	1	0	0	0	0	0	0	0	0	0
조국 수사는 이제 막바지. 기껏해봐야 와이프가 표장장관련 의혹이 전부. 국민을 위한 검찰 개혁이 이렇게 폄하하는 자한당 언제 까지 용납할것인가. 자한당 반드시 청산해야 나라가 한발짝이라도 앞으로 갈것. 이제 적페당에 끌려 다니는 나약한 민주당도 심판하자.	0	0	0	0	0	0	0	1	0	0	1
소고기 짬뽕 존나먹어보고싶다	0	0	0	0	0	0	0	0	0	1	0
이거 jtbc나 한경오에 제보하면 댓글로 대구 개까이겠지?	0	0	0	0	0	1	0	0	0	0	0
민아 귀엽네	0	0	0	0	0	0	0	0	0	1	0
보지는 돈 벌어서 좋고꼬추는 섹스해서 좋고서로 윈윈인데 이게 왜 불법이냐	0	0	0	0	0	0	0	0	1	0	0
로봉순 젠신병자니까 맘껏패라 사람아님	0	0	1	0	0	0	0	1	0	0	0
빍ㅔ이츠 공산당이다	0	0	0	0	0	0	0	0	1	0	1
한남 말동무도 해주고 심심하냐?	0	1	0	0	0	0	0	0	0	0	0
7인의 수습위원회? 일제시대 신사참배를 종교적행위가 아니라 국민의례라고하면서 신사참배 합헌 한것과 같은 꼴이네..7인의 이름은 영원히 역사에 수치로 기록되리라.	0	0	0	0	0	0	0	0	1	0	0
유민관인가 누구 개그맨 닮지 않았음?	0	0	0	0	0	0	0	0	0	1	0
이상준 황비홍댓냐	0	0	0	0	0	0	0	0	0	1	0
똥고에 들어갔던 꼬치 먹고싶은사람이 없어서 그렇지않겠노	0	0	1	0	0	0	0	0	0	0	0
보지민국에서 뭘 믿겠노? 보지 믿고그러지	1	0	0	0	0	0	0	0	0	0	0
막내가 예뻣으면 이런일 없다예쁜 여자는 저런데 한눈팔릴 틈조차 없음	1	0	0	0	0	0	0	0	0	0	0
그림체는 귀엽긴하지만 현실은 그렇치않아	0	0	0	0	0	0	0	0	0	1	0
출발한다 이기야!	0	0	0	0	0	0	0	0	0	1	0
저런것들은 설명해줘도 모른다	0	0	0	0	0	0	0	0	0	1	0
우리에게는 유모차 부대가 있는데?	0	0	0	0	0	0	0	0	0	1	0
그렇게 좋으면 따라가야제,,,^^	0	0	0	0	0	0	0	0	0	1	0
엔두스타일! 엔 엔 엔 엔 엔! 엔두스타일~!	0	0	0	0	0	0	0	0	0	1	0
항상 패배감에 쩔어있음.그렇다보니 상대하기 귀찮아서 피하는 것을 지들이 잘나서 이긴줄 알고 좆도 안되는 승리감과 도취감에 빠짐.(똥을 기준으로 사람들은 똥이 더러워서 피하는 것이지만, 똥은 지가 사람들에게 공포를 가져오는 존재라고 착각하는 것임.)	0	0	0	0	0	0	0	0	1	0	0
이런 기사 한국에서도 곧나오겠노 개슬람 난민 많아지더만 ㅋㅋ	0	0	0	1	0	0	1	0	0	0	0
후팔 가사가 저게뭐노	0	0	0	0	0	0	0	0	1	0	0
보석 같아서 아껴서 꽁꽁깜춘다는데 여자가 돌맹이냐 사람이지 보석이면 더 보여주면서 자랑하고 싶지 않냐 왜 눈만 보여줘	0	0	0	0	0	0	0	0	1	0	0
이새끼 똥꼬충인거같은데 똥꼬충새끼들이 양성애자들 존나 고깝게 보더라글제목부터가 성소수자 라고 대우해주는게 이새끼 똥꼬충으로 추정된다	0	0	1	0	0	0	0	0	0	0	0
여자 사진올라오면 따먹고싶다고 지랄하고 여자는30넘으면 상폐타령하는 일베랑 뭐가 다르노?ㅋㅋ	0	0	0	0	1	0	0	0	0	0	0
쌔끼들 저 손 좀 봐라ᆢᆢ 바짝 쫄기는ㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
여자는 자고로 남자 좃을 물고 살아야 하는 뱁이여!	1	0	0	0	0	0	0	0	0	0	0
국산남특징 정확하노ㅋㅋㅋㅋ지잘못 인정안한다 일찍이 애비뒤진놈들이라 상도덕이 없다이기	0	1	0	0	0	0	0	0	0	0	0
기도가 뭐 그렇게 대단하다고	0	0	0	0	0	0	0	0	0	1	0
안 만나면 분노살인. 한국남자로 태어난 새끼들을 다 여섯조각으로 찢어죽여야 해결될 문제노 "	0	1	0	0	0	0	0	0	0	0	0
관음자지들 인생 ㅆㅎㅌㅊ라서 저거 중에 살자밖에 못하노 풉ㅋㅋㅋ	0	1	0	0	0	0	0	0	0	0	0
다문화 극혐 맞고 다인종도 위험하긴 한데어차피 일베서 아무리 극혐씹극혐 소리 해봤자 변하는거 없음 뭐 존나 뭉쳐서 시위해야 윗대가리들이 들을랑말랑하는데 우리 일베충들이 그럴 위인들이 얼마나 있을까?그냥 글러먹었다 생각하고 자기살길이나 찾으면 된다	0	0	0	1	0	0	0	0	0	0	0
과학이고 증거고 뭐고 다 팔아먹었구만	0	0	0	0	0	0	0	0	1	0	0
백인은 애를 안낳으니 기독교가 줄은거고 이슬람은 애를 많이 낳고 불법이민 존나가니 늘어나고	0	0	0	1	0	0	0	0	0	0	0
ㅇㅊㅇㅊㅇ 베스트가라~!	0	0	0	0	0	0	0	0	0	1	0
문프발 5G 바이러스가 사실이었노 ㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
저기다가 밤꽃냄세 나는액채를 살며시 발라줘라 그럼 냄세 더욱 ㅅㅌㅊ 될꺼다 이기야	0	0	0	0	0	0	0	0	1	0	0
진짜 버러지 기생충이다사회암이다인권/복지고 나발이고 저런것들은 삼청교육대에서 정신 개조가 필요하다	0	0	0	0	0	0	0	0	1	0	0
입갤이 숙대가 높냐 동대가 높냐 숙대에는 꼴펨 많나?	1	0	0	0	0	0	0	0	0	0	0
아니 시벌 터키 그나마 보수적 마인드 때문에 좋아했는데 동성애자들이 저정도로 날뛰는거면 답없네	0	0	1	0	0	0	0	0	0	0	0
대구븅신들	0	0	0	0	0	1	0	0	0	0	0
여대를 없애라 여대가 왜 있는지 이해가 안감	0	0	0	0	0	0	0	0	0	1	0
내 스탈이야 ♡	0	0	0	0	0	0	0	0	0	1	0
이거 생각해보니 진짜 투신자살일까 하는 생각이 드노.. 강간하려다가 밀어서 떨어트린거 아니노...?	0	0	0	0	0	0	0	0	0	1	0
가정환경이 도대체 어때야만 감형없이 제대로된 처벌을 할까?? 불우하고 폭력적이 환경에서 자라면 지자식 때려죽여도 된다는 법이 따로 있는거임???	0	0	0	0	0	0	0	0	1	0	0
조선족 개새끼들 백린탄으로 멸해야한다	0	0	0	1	0	0	0	0	0	0	0
다문화는 그종족의 문화를 존중하고 지속시키며 같이 행복하게 사는건대 이나라는 걍 짬뽕이네 시부랄거	0	0	0	1	0	0	0	0	0	0	0
아직까진 불필요하다 여자 남자속에서 숨어살면서 또 소수자를 만들고 지네들이 하는게뭔데....불편해 그냥 숨어살어	0	0	1	0	0	0	0	0	0	0	0
역시 불의 도시. 마 갱상도 싸나이 뜨급다 아이가.	0	0	0	0	0	0	0	0	0	1	0
욱일기에 침략 당한적도 없고 일본에게 나라 팔아먹고 일본군이 되어서 욱일기 같이들고 아시아정벌을 같이한 새끼들이 왜 저런 법을 만드노 ???욱일기에 언제 당했다고 .........욱일기들고 일본군복입고 가해하고 다녔는 족속들이 신분세탁하노 ???	0	0	0	0	0	0	0	0	1	0	0
급식체 분탕으로 처리하고 벤하면 안되나	0	0	0	0	1	0	0	0	0	0	0
똥꼬충을 권유하는 시대까지오노	0	0	1	0	0	0	0	0	0	0	0
주적이라 말못하는 놈처럼 어버버하네ㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
가까운 신안으로 보낸다. 세상 그 누구도 찾지못한다	0	0	0	0	0	1	0	0	0	0	0
극극극극극소수를 위해 너무 많은 인력과 예산낭비. 탁상행정의 끝판이다.	0	0	0	0	0	0	0	0	1	0	0
이기뭐노 심심할때 마주치면 좆한번 비틀어주고 도망가고싶게생겼노 수치심에 자들자들 5걸음 정도 뛰다가 헉헉꿀꿀 재기하는 꼴이 선하다이기ㅋㅋ	0	1	0	0	0	0	0	0	0	0	0
난 homosexual을 지지하는 heterosexual인데 솔직히 저들의 way to express는 좀 seriously 문제가 있다고 생각한다	0	0	1	0	0	0	0	0	0	0	0
시발 일게이들 이제 러브인 아시아 강제로 찍게되노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
개소리하노 시발라마 조선족이 중국인인데 중국인보다라니 뭔 개소리야 조선족 == 중국인 동일	0	0	0	1	0	0	0	0	0	0	0
아따 제목만봐도 키부니 놈딱 조아지놐ㅋㅋㅋㅋㅋㅋ 담에 또 마주치면 후장에 우산 접었다폈다 하는거 잊지말아라익이	0	0	0	0	0	0	0	0	1	0	0
제발 성에 관해서만은 관대하지 맙시다! 인류의 미래와 연관되어 있다고 봅니다. 성소수자 차별금지법 절대반대!!! 성다수자가 역차별 당하는법!!!	0	0	1	0	0	0	0	0	0	0	0
일단 후장은 뚫어라 고분해진다이기	0	0	0	0	0	0	0	0	1	0	0
손정우는 미국에 보내지도 않고 이런건 공조 요청하고ㅋㅋㅋㅋ 결과 나오면 그것도 꼭 기사로 크게크게 써주시길..🙏 손동작부터 해서 해외에 널리널리 알려지는구나	0	0	0	0	0	0	0	0	0	1	0
어제 무 슨 날이냐? 어제 쓰까국 가야 동서머 근처에 한 잔 하러 갔는데 무슬림 새끼들 모여서 존나 가던데 존나 빠개면서 가길래 알라후 아크바르 하면서 지나가니깐 존나 야리더라 ㅋ	0	0	0	1	0	0	0	0	0	0	0
남녀가 헐벗고 섹스하자고 춤추고 퍼레이드 하고 콘돔 나눠주면 바로 잡혀갈텐데동성연애자들이 춤추고 항문섹스하자고 콘돔 나눠주는 것은 왜 가만둘까?	0	0	1	0	0	0	0	0	0	0	0
그러면 좆국이 웜련들의 보지놀이터가 될 것이다.	1	0	0	1	0	0	0	0	0	0	0
정상이냐? 헐 비정상을 그냥 다문화식으로 인정해달라하는것도아니고	0	0	0	0	0	0	0	0	1	0	0
에이즈의 주범이 똥꼬충인거 이미 통계로 확인 되었음	0	0	1	0	0	0	0	0	0	0	0
부랄을 울려라 이기야~ 와인병에 한남충 틀니가 나간다 재기야 삼기야 틀따라닦딲 틀딲딲 부롸라라라악 후두두두둑	0	1	0	0	0	0	0	0	0	0	0
포괄적차별금지법을 반대합니다.	0	0	0	0	0	0	0	1	0	0	0
20년 후. 인구의 20프로를 차지한 개슬람은 자기들이 먹어선 안 될 고기들을 먹었다고 토종인들의 목을 썰기 시작하는데...국내 정치인들은 이에 맞서 즉각적으로 개슬람으로 종교를 바꿈을 선언!	0	0	0	1	0	0	1	0	0	0	0
사전 오프모임은 할 필요도 없고	0	0	0	0	0	0	0	0	0	1	0
후팔 1호선이노	0	0	0	0	0	0	0	0	1	0	0
남자가 고추 떼고 가시나들 보러 간거냐? 미쳐버리겠네~~ 여기서 여자친구 생기면 동성애?	0	0	1	0	0	0	0	0	0	0	0
맘충 = 진상 거지년이 애낳은 것	1	0	0	0	0	0	0	1	0	0	0
장미칼 미만잡	0	0	0	0	0	0	0	0	0	1	0
나도 여잔데 찬성 ㅎㅎ 신체적으로 차이는 있기때문에 행정이나 취사병처럼 군인 지원하는 쪽으로라도 해야한다고 봄..	0	0	0	0	0	0	0	0	0	1	0
개좆같네 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
단속안하나 이씨발	0	0	0	0	0	0	0	0	1	0	0
이미 한남 와꾸는........ 읍음....!!!!	0	1	0	0	0	0	0	0	0	0	0
터키가 형제국가로 생각하는 나라가 좆본아닌가?	0	0	0	1	0	0	0	0	0	0	0
전라도세끼들은 딱봐도 뭔가 혐오감있게 생김 유전자가 다른 종족인건 확실함	0	0	0	0	0	1	0	0	0	0	0
여자였으면 신상공개 안됐을텐데 ㅋㅋㅋ	1	0	0	0	0	0	0	0	0	0	0
으니좆팔ㅋㅋㅋㅋㅋ 저게뭐놐ㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
인천은 진짜 수도권인데 제일 싼듯 요즘 안산부천 이딴 쓰레기동네 다오르는데 인천은 방어하는듯	0	0	0	0	0	1	0	0	0	0	0
예수는 개쓰레기 버러지 애미창렬 허벌 사기꾼이지 예수 그 쓰레기새끼 ㅎㅎ	0	0	0	0	0	0	1	0	0	0	0
경상도친구장점내가 존나 지적하고 꼽주고해도 다들어줌	0	0	0	0	0	1	0	0	0	0	0
어디가서 지가 다리짤라놓고 상해 당했으니 참전 용사해달라는 꼴과 뭐가 틀린가 군대가 개인적인 일탈까지 법 어겨가며 지켜야되냐 잘했다 국방부	0	0	0	0	0	0	0	0	1	0	0
용돈 받아서 해외여행 다니고 싶다니... 남편은 버리고 혼자 다니겠단 소린가 ㅡㅡ;;	0	0	0	0	0	0	0	0	1	0	0
기초학력이 바닥이다!!! 페미사상이전에 지식 올바른 역사로 가치관을 아이들에게 가르쳐랏	1	0	0	0	0	0	0	0	0	0	0
오히려 지역카페 매니져,스텝직에있는 아지매들이 카페 카페언급에 더 조심스럽고 예민하다. 노인증주작썰ㅈㅎ	0	0	0	0	0	0	0	0	1	0	0
우리가 납치했나왜 가고 싶어 할 사람이 있을 거라는 생각을 하냐가고 싶으면 중국으로 가서 넘어 갈수 있다 이년아아구창 강냉이 다 털리게 패고 싶네	0	0	0	0	0	0	0	0	1	0	0
나 같으면 벌떡 일어서서 펄펄 끊는 된장찌개 애새끼 머리에 부어버리고 애미년 얼굴 칼로 난도질 존나 했다	0	0	0	0	0	0	0	0	1	0	0
여짓것 남자로 살아왔을텐데 여군이랑 같이자고 같이씻고 같이 싸고 한다고? 이건아니다 십다 그리고 여군가려면 시험도 다시 봐야 하는것 아닌가 ? 삼성붙었다고 LG시험 안보고 들어가는꼴	0	0	1	0	0	0	0	0	0	0	0
아 진심 보자마자 조팔 육성으로 욕했노 진짜 좆국갈잦들 못생겼지만 이새끼는 그중에서도 ㅆㅆㅎㅌㅊ노 와 후팔 어떻게 저렇게생기노?	0	1	0	1	0	0	0	0	0	0	0
이런 개독새끼들을 좋다고 빨아대는 통베수준ㄷ	0	0	0	0	0	0	1	0	0	0	0
근데 고경표 군대 간다고 snl 하차한거 아니었냐?	0	0	0	0	0	0	0	0	0	1	0
죶나 역겹다 산업폐기물보다 못한새끼들ㄷ오유충등 일베와서 민주화주고가노	0	0	0	0	0	0	0	0	1	0	0
고딩때는 공부만했냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
사회분열과 남녀갈등이 심각한데 정치인이라는 작자가 거기에 숟가락이나 얹으려고 들고..한심하다.	0	0	0	0	0	0	0	0	1	0	0
근대 7시는 전두환각하가 미워서 그러는거냐? 아니면 진심으로 머중이를 존경하는거냐?존나 궁금함	0	0	0	0	0	1	0	0	0	0	1
숫비둘기 워친련ㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
알수없는 우울감 적절하노ㅋㄱㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
아니거든요 노짱 염라대왕이시거든요. 하라보지나 따러가세요	0	0	0	0	0	0	0	0	1	0	0
신천지 사이비.. 사회적 암같은 집단.. 무지개.. 사회적 암같은 존재.. 개인의 자유 존중 받아 마땅하지만.. 그게 정상은 아니란거 다 알자나.. 암처럼.. 아냐??	0	0	1	0	0	0	1	0	0	0	0
인류사 최대사기는 종교라고 누가 얘기하...!!	0	0	0	0	0	0	1	0	0	0	0
Gs 잘알앗어~ 안산다	0	0	0	0	0	0	0	0	0	1	0
필리피노들은 구라가 종특이냐?시발 미카도 슈스케나와서 구라 존나치더니 하여간동남아새끼들	0	0	0	1	0	0	0	0	0	0	0
워마드(메갈)=페미니즘을 빙자한 테러집단	1	0	0	0	0	0	0	0	0	0	0
아니 그전에 범죄 저지른게 누군데ㅋㅋ 뇌는 장식임?ㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
점마 아직 재기 안햇노?	0	0	0	0	0	0	0	0	1	0	0
저 년은 지 믿음과 목사의 친목을 위해서 저 지랄까지 한다는게 본인 스스로 자괴감 안드나자존감이라는게 없는 듯 ㅋ예수 없는건 팩튼데 아닙니다! 아닙니다! 눈가리고 성경 소설 쳐읽고 ㅋ	0	0	0	0	0	0	1	0	0	0	0
글좀 잘써라	0	0	0	0	0	0	0	0	1	0	0
ㅇㅈ 짱구 드래곤볼 심지어지금도 넷플에서 애니보면서 반일하는 절라도는 자살 ㄱ	0	0	0	0	0	1	0	0	0	0	0
조선족이 짱개인데 둘을 구분할필요가 없음즉 여기엔 짱개들이 졸라많음주기적으로 시간단위로 짱개 까는글이 올라올 필요가 잇단소리임	0	0	0	1	0	0	0	0	0	0	0
저거에 목숨걸지 말고 약사면 다른 먹거리 찾아야 할지도 모름. 미국에서는 이미 약사가 하는일 기계가 하고 있다. 미래는 생각보다 멀지않다	0	0	0	0	0	0	0	0	0	1	0
한남충 이새끼들은 그냥 좆질할려고 사는것 같다이기	0	1	0	0	0	0	0	0	0	0	0
이런 씨발 딱 이거랑 똑같은 스토리의 야동이나 망가 야애니 추천받는다 씨발 빨리 고추섯다	0	0	0	0	0	0	0	0	1	0	0
이 새끼 ㄹㅇ 좆됐네..징역 30년 맞겠네ㅋㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
연봉 수십억을 버리겠나?	0	0	0	0	0	0	0	0	0	1	0
대구게이는 일베 글쓰지 마라 IP타고 우한폐렴 전파된다	0	0	0	1	0	1	0	0	0	0	0
돈 많은데 안밝히면 고자로 의심~ 그러므로 빌은 극히 정상 ㅋㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
유튜브에 짱깨라 쓰면 칼삭되는거 존나 웃기지않냐? 유튜브 왜 이렇게까지 하는건지 모르겠음 미국기업이면서	0	0	0	1	0	0	0	0	0	0	0
문병신 페미에 짝짝꿍 나라가 망할 징조노 ㅋㅋ	1	0	0	0	0	0	0	0	0	0	0
이쯤에서 팩트체킹	0	0	0	0	0	0	0	0	0	1	0
ㅎㄹㅆ ㅇㄷㅃ	0	0	0	0	0	0	0	0	0	1	0
운전면허 없다 운전면허 따게 지원해주냐? 내 한몸 바치겠다	0	0	0	0	0	0	0	0	0	1	0
꼭 저런거 버리는 년들 보면 뚱뚱한 맘충이더라 돈까스 시켜먹는데 적게나왔다고 따질년들	1	0	0	0	0	0	0	0	0	0	0
산소 아까우니 빨리 뛰어내려라	0	0	0	0	0	0	0	0	1	0	0
한남충 피싸개 같이 쓰면 어떻게 되지??한피남싸충개 이렇게 하면 어떻게 될까??	0	1	0	0	0	0	0	0	0	0	0
집사님들도 한 덩치 함워마드 돼지년들한테 안꿀림	1	0	0	0	0	0	0	1	0	0	0
됐고 둘다 슈카형한테 좀 배우고 와라 진짜 20 30세대들 한테 어떻게 해야 하는지 정치밥 먹은 인간들보다 일개 유튜버가 더 뛰어나 보이네 ㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
더러운 똥꺼충 새끼들 아가리에 갈좆 물고 후장엔 철근빵해서 뒈져라	0	0	1	0	0	0	0	0	0	0	0
고왕릉디시고정닉=야이같잩은엘리트새끼들아!=!	0	0	0	0	0	0	0	0	1	0	0
중국 살면 심심하지는 않겠다	0	0	0	0	0	0	0	0	0	1	0
말 장난 하고 자빠졌네..ㅋㅋㅋㅋ 수준하고는	0	0	0	0	0	0	0	0	1	0	0
구상권 무조권 청구	0	0	0	0	0	0	0	0	0	1	0
짱깨,북한,한국 넘나들면서 기생충짓만 골라서하는족보도없는 개쓰레기 구더기만도 못한 좆족새끼들 씨발조선족전용 세스코 만들어서 박멸해야됨.씨발 사기,살인,협박,폭행등등 종족자체가 불법으로유지되는 개쓰레기 인종새끼들이 어디서 깝치노.	0	0	0	1	0	0	0	0	0	0	0
아직도 처 놀러가는거 보면 속에 천불이난다	0	0	0	0	0	0	0	0	0	1	0
